n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.005, Unregularise CE: 0.30075, Test accuracy: 88.25%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.48955, Test accuracy: 86.96%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.005, Unregularise CE: 0.38732, Test accuracy: 87.83%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.26127, Test accuracy: 88.87%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.01, Unregularise CE: 0.19300, Test accuracy: 87.72%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.30968, Test accuracy: 88.31%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.01, Unregularise CE: 0.23356, Test accuracy: 87.72%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.38642, Test accuracy: 87.88%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.01, Unregularise CE: 0.30322, Test accuracy: 88.44%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.21518, Test accuracy: 88.88%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 16, Learning_rate: 0.05, Unregularise CE: 0.16139, Test accuracy: 88.49%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.22928, Test accuracy: 88.94%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 32, Learning_rate: 0.05, Unregularise CE: 0.16554, Test accuracy: 88.14%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 50, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.25549, Test accuracy: 88.91%
n_hidden_lrs: 3, n_hidden_units: 50, Num_Epoch 100, Batch_size: 64, Learning_rate: 0.05, Unregularise CE: 0.18844, Test accuracy: 87.84%
